model,kappa,accuracy,recall,precision,f1,specificity,roc
vgg16,0.6259335420036041,0.7387556221889054,0.7387556221889054,0.7343255426698534,0.7323986838862157,0.9024974847418633,0.7865748531701033
densenet201,0.9387865666642301,0.9568590704647676,0.9568590704647676,0.9583260244947743,0.9565703276186732,0.9844118343751196,0.9648066137857427
inception_v3,0.9108280371590416,0.9374250374812594,0.9374250374812594,0.9413523081129185,0.9364492747685372,0.9786532884111565,0.9477264030849469
xception,0.9261716838899667,0.9482383808095952,0.9482383808095952,0.9491885439571812,0.9471806820959262,0.9812432152742513,0.9527205324682018
inception_resnet_v2,0.9597919000006849,0.9719827586206897,0.9719827586206897,0.9735564363797122,0.9717210982732185,0.9868867313153364,0.9752350403465551
NASNet,0.9147010813161452,0.9396551724137931,0.9396551724137931,0.9409041563178311,0.9396697282056091,0.9813789845034362,0.9522541725935767
resnet152v2,0.9293741289958738,0.9503935532233884,0.9503935532233884,0.9528490463850594,0.9485681126697177,0.9827832501319865,0.9576958916969238
