model,kappa,accuracy,recall,precision,f1,specificity,roc
vgg16,0.07869399663179456,0.052791392500530575,0.052791392500530575,0.06128867499341126,0.05955338455736245,0.026415873904077857,0.04938665888751533
densenet201,0.043430192130714224,0.030639196789896003,0.030639196789896003,0.029255331096262473,0.031252196246033044,0.010231157308544882,0.024803631044945193
inception_v3,0.0578781973299263,0.03998018373587933,0.03998018373587933,0.036967599552185,0.04194933962296296,0.02132349888446778,0.04009165444174339
xception,0.060452334251254077,0.042191824207215296,0.042191824207215296,0.0413202865565336,0.043654294448606565,0.016482319067527583,0.03780025570676513
inception_resnet_v2,0.0724853036303901,0.050451292718619076,0.050451292718619076,0.04745285429833603,0.05093082683019336,0.02351016474940798,0.04401670461408874
NASNet,0.07507175921918494,0.05314150002559462,0.05314150002559462,0.05265154120643436,0.052889740085833296,0.01701100556774079,0.04239987539782317
resnet152v2,0.061599967272989,0.04299405430315218,0.04299405430315218,0.03953153789364337,0.046607485014107386,0.016703237694015088,0.03878789180507325
